Dataset,K,Repetition,Seed,Model,Method,Epsilon,FairlearnTolerance,AdversarialWeight,Accuracy,Unfairness,RuntimeSeconds
CRIME,2,0,1777,reglog,Unfair,,,,0.8446115288220551,0.7113386385523848,0.00015210000856313854
CRIME,2,0,1777,reglog,Our Eps-Fair,0.0,,,0.6791979949874687,0.0918951796847281,0.004709990011178888
CRIME,2,0,1777,reglog,Our Eps-Fair,0.1,,,0.7418546365914787,0.22606315576055558,0.006888269999762997
CRIME,2,0,1777,reglog,Our Eps-Fair,0.2,,,0.7568922305764411,0.3097724162400527,0.007041182994726114
CRIME,2,0,1777,reglog,Our Eps-Fair,0.3,,,0.8070175438596491,0.44946525419433325,0.01237140801094938
CRIME,2,0,1777,reglog,Our Eps-Fair,0.4,,,0.8220551378446115,0.49908763748796187,0.008812576998025179
CRIME,2,0,1777,reglog,Our Eps-Fair,0.5,,,0.8270676691729323,0.5679963505499519,0.009835015996941365
CRIME,2,0,1777,reglog,Fairlearn,,0.0001,,0.681704260651629,0.10117086522378227,0.2708027329936158
CRIME,2,0,1777,reglog,Fairlearn,,0.5,,0.6691729323308271,0.07823508540726848,0.32126633600273635
CRIME,2,0,1777,reglog,Fairlearn,,1.0,,0.6716791979949874,0.09293425921232701,0.35753055299574044
CRIME,2,0,1777,reglog,Fairlearn,,2.5,,0.8145363408521303,0.5330731410613818,0.2942853679996915
CRIME,2,0,1777,reglog,Fairlearn,,5.0,,0.8446115288220551,0.6019818541233717,0.35234523899271153
CRIME,2,0,1777,reglog,Fairlearn,,10.0,,0.8446115288220551,0.6708905671853617,0.3562690249964362
CRIME,2,0,1777,RF,Unfair,,,,0.8596491228070176,0.6727659790156623,0.001220527003169991
CRIME,2,0,1777,RF,Our Eps-Fair,0.0,,,0.6917293233082706,0.12139490090729382,0.01020431300275959
CRIME,2,0,1777,RF,Our Eps-Fair,0.1,,,0.7017543859649122,0.16914187237062195,0.005011476008803584
CRIME,2,0,1777,RF,Our Eps-Fair,0.2,,,0.7368421052631579,0.2693243448730296,0.003684561001136899
CRIME,2,0,1777,RF,Our Eps-Fair,0.3,,,0.7744360902255639,0.36773277915758534,0.009779932996025309
CRIME,2,0,1777,RF,Our Eps-Fair,0.4,,,0.7894736842105263,0.4164174565360637,0.007691120001254603
CRIME,2,0,1777,RF,Our Eps-Fair,0.5,,,0.8145363408521303,0.4862638755132039,0.005967973993392661
CRIME,2,0,1777,RF,Fairlearn,,0.0001,,0.681704260651629,0.17175224289117547,1.1515666789928218
CRIME,2,0,1777,RF,Fairlearn,,0.5,,0.6365914786967418,0.1461047189416595,1.1122538249910576
CRIME,2,0,1777,RF,Fairlearn,,1.0,,0.6090225563909775,0.05968371432916014,1.0971438440028578
CRIME,2,0,1777,RF,Fairlearn,,2.5,,0.8195488721804511,0.5826955243550104,1.0277302610047627
CRIME,2,0,1777,RF,Fairlearn,,5.0,,0.8195488721804511,0.5826955243550104,1.0800376849947497
CRIME,2,0,1777,RF,Fairlearn,,10.0,,0.8471177944862155,0.6460793755385473,1.1410086620016955
CRIME,2,0,1777,GBM,Unfair,,,,0.8546365914786967,0.6819402909422677,0.0008888830052455887
CRIME,2,0,1777,GBM,Our Eps-Fair,0.0,,,0.6791979949874687,0.062496832074610986,0.009699343994725496
CRIME,2,0,1777,GBM,Our Eps-Fair,0.1,,,0.7218045112781954,0.20229104364134015,0.0045829729933757335
CRIME,2,0,1777,GBM,Our Eps-Fair,0.2,,,0.7619047619047619,0.3015358102285975,0.004083234001882374
CRIME,2,0,1777,GBM,Our Eps-Fair,0.3,,,0.7719298245614035,0.37044452329058747,0.0057246770011261106
CRIME,2,0,1777,GBM,Our Eps-Fair,0.4,,,0.7919799498746867,0.43654011860712655,0.007466048002243042
CRIME,2,0,1777,GBM,Our Eps-Fair,0.5,,,0.8320802005012531,0.5689340564651021,0.006353646997013129
CRIME,2,0,1777,GBM,Fairlearn,,0.0001,,0.6716791979949874,0.09407471235237475,0.7536660610057879
CRIME,2,0,1777,GBM,Fairlearn,,0.5,,0.6666666666666666,0.04163921131329518,0.6413720760028809
CRIME,2,0,1777,GBM,Fairlearn,,1.0,,0.6591478696741855,0.09939682700593039,0.8657127290061908
CRIME,2,0,1777,GBM,Fairlearn,,2.5,,0.8395989974937343,0.5946829540270668,0.8787305759906303
CRIME,2,0,1777,GBM,Fairlearn,,5.0,,0.8270676691729323,0.590095798063764,0.779742985003395
CRIME,2,0,1777,GBM,Fairlearn,,10.0,,0.8095238095238095,0.5175376349536216,0.8944194470095681
CRIME,2,0,1777,NN,Unfair,,,,0.8571428571428571,0.6691165289675097,
CRIME,2,0,1777,NN,Our Eps-Fair,0.01,,,0.7092731829573935,0.15819352222616456,0.006164474005345255
CRIME,2,0,1777,NN,Our Eps-Fair,0.1,,,0.7268170426065163,0.22063966749455116,0.005032549001043662
CRIME,2,0,1777,NN,Our Eps-Fair,0.3,,,0.7844611528822055,0.41735516245121396,0.007568072993308306
CRIME,2,0,1777,NN,Our Eps-Fair,0.5,,,0.8220551378446115,0.5477723148664403,0.007211542004370131
CRIME,2,0,1777,NN,Our Eps-Fair,0.9,,,0.8571428571428571,0.6691165289675097,0.0010902259964495897
CRIME,2,0,1777,NN,Fair-adversarial,,,0.01,0.8446115288220551,0.6819402909422677,1.5876761340041412
CRIME,2,0,1777,NN,Fair-adversarial,,,0.1,0.8345864661654135,0.6092807542196766,1.7017906369874254
CRIME,2,0,1777,NN,Fair-adversarial,,,0.5,0.581453634085213,0.06933955091489687,1.6874506219901377
CRIME,2,0,1777,NN,Fair-adversarial,,,0.9,0.7393483709273183,0.2613158294895839,1.620983710992732
CRIME,2,0,1777,NN,Fair-adversarial,,,1.0,0.5463659147869674,0.1843225708348117,1.6308677869965322
CRIME,2,1,11777,reglog,Unfair,,,,0.8421052631578947,0.7541203235591507,0.00014643900794908404
CRIME,2,1,11777,reglog,Our Eps-Fair,0.0,,,0.7042606516290727,0.10475227502527812,0.005798418991616927
CRIME,2,1,11777,reglog,Our Eps-Fair,0.1,,,0.7518796992481203,0.2195652173913043,0.009240603001671843
CRIME,2,1,11777,reglog,Our Eps-Fair,0.2,,,0.7919799498746867,0.3258088978766431,0.009804750006878749
CRIME,2,1,11777,reglog,Our Eps-Fair,0.3,,,0.8120300751879699,0.447623862487361,0.005474577003042214
CRIME,2,1,11777,reglog,Our Eps-Fair,0.4,,,0.8295739348370927,0.5337462082912032,0.005959521004115231
CRIME,2,1,11777,reglog,Our Eps-Fair,0.5,,,0.8220551378446115,0.5888270980788675,0.0053420159965753555
CRIME,2,1,11777,reglog,Fairlearn,,0.0001,,0.6591478696741855,0.00154196157735087,0.40252544499526266
CRIME,2,1,11777,reglog,Fairlearn,,0.5,,0.6791979949874687,0.044236602628918154,0.5606677210016642
CRIME,2,1,11777,reglog,Fairlearn,,1.0,,0.6616541353383458,0.007760364004044562,0.40011345500533935
CRIME,2,1,11777,reglog,Fairlearn,,2.5,,0.8245614035087719,0.5740899898887766,0.46757777500897646
CRIME,2,1,11777,reglog,Fairlearn,,5.0,,0.8270676691729323,0.6307381193124368,0.3853592849918641
CRIME,2,1,11777,reglog,Fairlearn,,10.0,,0.8421052631578947,0.702906976744186,0.33459421899169683
CRIME,2,1,11777,RF,Unfair,,,,0.8446115288220551,0.6834681496461072,0.010223356992355548
CRIME,2,1,11777,RF,Our Eps-Fair,0.0,,,0.6992481203007519,0.0519716885743175,0.007314207992749289
CRIME,2,1,11777,RF,Our Eps-Fair,0.1,,,0.7368421052631579,0.17530333670374115,0.0059235459921183065
CRIME,2,1,11777,RF,Our Eps-Fair,0.2,,,0.7719298245614035,0.31572295247724974,0.006482235010480508
CRIME,2,1,11777,RF,Our Eps-Fair,0.3,,,0.8045112781954887,0.3925429726996967,0.005991892991005443
CRIME,2,1,11777,RF,Our Eps-Fair,0.4,,,0.8145363408521303,0.4926188068756319,0.005095579996122979
CRIME,2,1,11777,RF,Our Eps-Fair,0.5,,,0.8395989974937343,0.5919110212335693,0.004299182997783646
CRIME,2,1,11777,RF,Fairlearn,,0.0001,,0.6716791979949874,0.07522750252780586,9.041517689998727
CRIME,2,1,11777,RF,Fairlearn,,0.5,,0.6466165413533834,0.04820525783619822,6.629452125009266
CRIME,2,1,11777,RF,Fairlearn,,1.0,,0.6365914786967418,0.04428715874620831,10.034191612008726
CRIME,2,1,11777,RF,Fairlearn,,2.5,,0.8471177944862155,0.5856926188068756,9.940071031989646
CRIME,2,1,11777,RF,Fairlearn,,5.0,,0.8521303258145363,0.596562184024267,8.893457555008354
CRIME,2,1,11777,RF,Fairlearn,,10.0,,0.8295739348370927,0.5414812942366026,9.415058871003566
CRIME,2,1,11777,GBM,Unfair,,,,0.8446115288220551,0.7253791708796764,0.0011186940100742504
CRIME,2,1,11777,GBM,Our Eps-Fair,0.0,,,0.7142857142857143,0.09231547017189085,0.0050499339995440096
CRIME,2,1,11777,GBM,Our Eps-Fair,0.1,,,0.7568922305764411,0.21643073811931246,0.007430706988088787
CRIME,2,1,11777,GBM,Our Eps-Fair,0.2,,,0.7969924812030075,0.32502527805864506,0.009301997008151375
CRIME,2,1,11777,GBM,Our Eps-Fair,0.3,,,0.8170426065162907,0.3948432760364004,0.006497113994555548
CRIME,2,1,11777,GBM,Our Eps-Fair,0.4,,,0.8270676691729323,0.4856167846309404,0.008207626000512391
CRIME,2,1,11777,GBM,Our Eps-Fair,0.5,,,0.8395989974937343,0.5895601617795753,0.0038838489999761805
CRIME,2,1,11777,GBM,Fairlearn,,0.0001,,0.6641604010025063,0.01862992922143586,1.3871722839976428
CRIME,2,1,11777,GBM,Fairlearn,,0.5,,0.656641604010025,0.02328109201213352,1.1483995070011588
CRIME,2,1,11777,GBM,Fairlearn,,1.0,,0.6591478696741855,0.041936299292214374,1.4163726630067686
CRIME,2,1,11777,GBM,Fairlearn,,2.5,,0.8295739348370927,0.6112992922143579,1.8057829919998767
CRIME,2,1,11777,GBM,Fairlearn,,5.0,,0.8345864661654135,0.6314711830131445,1.2539129090000642
CRIME,2,1,11777,GBM,Fairlearn,,10.0,,0.8370927318295739,0.5336956521739131,1.4907101619901368
CRIME,2,1,11777,NN,Unfair,,,,0.8421052631578947,0.7153437815975733,
CRIME,2,1,11777,NN,Our Eps-Fair,0.01,,,0.7117794486215538,0.13427704752275027,0.01068502600537613
CRIME,2,1,11777,NN,Our Eps-Fair,0.1,,,0.7493734335839599,0.21883215369059655,0.006283927999902517
CRIME,2,1,11777,NN,Our Eps-Fair,0.3,,,0.8070175438596491,0.44380687563195154,0.005265405008685775
CRIME,2,1,11777,NN,Our Eps-Fair,0.5,,,0.8320802005012531,0.61448432760364,0.014231898996513337
CRIME,2,1,11777,NN,Our Eps-Fair,0.9,,,0.8421052631578947,0.7153437815975733,0.0009788369934540242
CRIME,2,1,11777,NN,Fair-adversarial,,,0.01,0.8471177944862155,0.766557128412538,1.659007981987088
CRIME,2,1,11777,NN,Fair-adversarial,,,0.1,0.8320802005012531,0.6097826086956522,1.9449002019973705
CRIME,2,1,11777,NN,Fair-adversarial,,,0.5,0.6766917293233082,0.13066228513650158,1.8186038759886287
CRIME,2,1,11777,NN,Fair-adversarial,,,0.9,0.7418546365914787,0.2624620829120324,1.7926110629923642
CRIME,2,1,11777,NN,Fair-adversarial,,,1.0,0.5087719298245614,0.24304853387259862,1.977989078994142
CRIME,2,2,21777,reglog,Unfair,,,,0.8295739348370927,0.7993718592964825,0.00018862099386751652
CRIME,2,2,21777,reglog,Our Eps-Fair,0.0,,,0.656641604010025,0.048140703517588035,0.007847632994526066
CRIME,2,2,21777,reglog,Our Eps-Fair,0.1,,,0.7117794486215538,0.08231155778894472,0.006618101993808523
CRIME,2,2,21777,reglog,Our Eps-Fair,0.2,,,0.7418546365914787,0.2227889447236181,0.0065300120040774345
CRIME,2,2,21777,reglog,Our Eps-Fair,0.3,,,0.7744360902255639,0.3181155778894473,0.008505666992277838
CRIME,2,2,21777,reglog,Our Eps-Fair,0.4,,,0.8070175438596491,0.423391959798995,0.007511181989684701
CRIME,2,2,21777,reglog,Our Eps-Fair,0.5,,,0.8270676691729323,0.5236934673366834,0.0070531100063817576
CRIME,2,2,21777,reglog,Fairlearn,,0.0001,,0.7192982456140351,0.13791457286432168,0.6478814389993204
CRIME,2,2,21777,reglog,Fairlearn,,0.5,,0.7092731829573935,0.11778894472361812,0.665140031996998
CRIME,2,2,21777,reglog,Fairlearn,,1.0,,0.7192982456140351,0.11791457286432167,0.6025087970047025
CRIME,2,2,21777,reglog,Fairlearn,,2.5,,0.8421052631578947,0.6040201005025126,0.41635473200585693
CRIME,2,2,21777,reglog,Fairlearn,,5.0,,0.8421052631578947,0.6641708542713567,0.48919891299738083
CRIME,2,2,21777,reglog,Fairlearn,,10.0,,0.8295739348370927,0.7993718592964825,0.5394825889961794
CRIME,2,2,21777,RF,Unfair,,,,0.8170426065162907,0.7142462311557789,0.009860844991635531
CRIME,2,2,21777,RF,Our Eps-Fair,0.0,,,0.6691729323308271,0.0130150753768844,0.016384828006266616
CRIME,2,2,21777,RF,Our Eps-Fair,0.1,,,0.7192982456140351,0.10738693467336685,0.012009569996735081
CRIME,2,2,21777,RF,Our Eps-Fair,0.2,,,0.7744360902255639,0.24796482412060306,0.015140696996240877
CRIME,2,2,21777,RF,Our Eps-Fair,0.3,,,0.8195488721804511,0.3582663316582915,0.005470488002174534
CRIME,2,2,21777,RF,Our Eps-Fair,0.4,,,0.8245614035087719,0.4285175879396985,0.007648814003914595
CRIME,2,2,21777,RF,Our Eps-Fair,0.5,,,0.8245614035087719,0.4986934673366834,0.013232095006969757
CRIME,2,2,21777,RF,Fairlearn,,0.0001,,0.6691729323308271,0.10741206030150752,5.737159327996778
CRIME,2,2,21777,RF,Fairlearn,,0.5,,0.6666666666666666,0.08221105527638195,5.558965824995539
