Dataset,K,Model,Method,Epsilon,FairlearnTolerance,AdversarialWeight,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions
CRIME,2,GBM,Fairlearn,,0.0001,,0.6603174603174603,0.024162679209758342,0.04718784028429066,0.03421190800235114,1.0096739033334112,0.3124914229292879,30
CRIME,2,GBM,Fairlearn,,0.5,,0.6617376775271512,0.028708039400563618,0.04001469986498505,0.031728947777664704,0.9535497733332401,0.23907946825827334,30
CRIME,2,GBM,Fairlearn,,1.0,,0.6567251461988304,0.026396806314040212,0.05076918425660307,0.04544376979119737,1.047142796666958,0.24109127513340511,30
CRIME,2,GBM,Fairlearn,,2.5,,0.8230576441102756,0.018235202321823404,0.5727968332513446,0.04156176844405452,1.0207823333331665,0.2904650004590097,30
CRIME,2,GBM,Fairlearn,,5.0,,0.8245614035087719,0.0174386017327459,0.5747610711506679,0.045588145667884876,0.9443434866666697,0.21431078042259505,30
CRIME,2,GBM,Fairlearn,,10.0,,0.8192982456140351,0.022487627929909236,0.5480029145293094,0.06352544442159663,1.0680587866667337,0.28518042813180733,30
CRIME,2,GBM,Our Eps-Fair,0.0,,,0.6677527151211361,0.031064890778938477,0.06207901013861408,0.041144150653207194,0.011086380000172842,0.004150023491349875,30
CRIME,2,GBM,Our Eps-Fair,0.1,,,0.7035923141186299,0.03207515876609313,0.09902837843896428,0.06389612357189049,0.011763760000030743,0.005897509004201012,30
CRIME,2,GBM,Our Eps-Fair,0.2,,,0.7377610693400167,0.029723721501606442,0.1893810592523072,0.07706369856375497,0.01348330999959823,0.00629959147144729,30
CRIME,2,GBM,Our Eps-Fair,0.3,,,0.770843776106934,0.025033976618801374,0.3029445290528066,0.06545205136271763,0.014522869999927935,0.0057558478167968425,30
CRIME,2,GBM,Our Eps-Fair,0.4,,,0.793984962406015,0.024222366764782517,0.40109399653609434,0.06767296399048492,0.0140872399994502,0.005264002329177121,30
CRIME,2,GBM,Our Eps-Fair,0.5,,,0.8121971595655807,0.022483614274525825,0.4989646517338445,0.06906754480332937,0.01252019666559742,0.003320296015488699,30
CRIME,2,GBM,Unfair,,,,0.8326649958228906,0.017705874785263035,0.6830860631269396,0.03599612294189121,0.0012744766669735934,0.00041659448215495583,30
CRIME,2,NN,Fair-adversarial,,,0.01,0.8374269005847953,0.020674880259776394,0.6945516338533755,0.037669831615770255,2.0846412566665093,0.25644900749611194,30
CRIME,2,NN,Fair-adversarial,,,0.1,0.8304928989139515,0.020012099163788367,0.595278910783238,0.07634392278552177,2.033472653332986,0.2072670523258026,30
CRIME,2,NN,Fair-adversarial,,,0.5,0.6870509607351712,0.10518644671865807,0.2514870512913425,0.19636530169446198,2.0151881900002384,0.18328983952966088,30
CRIME,2,NN,Fair-adversarial,,,0.9,0.5724310776942355,0.07088973114731044,0.16168016742373548,0.09988497240312615,2.0163798466665566,0.18645371800614974,30
CRIME,2,NN,Fair-adversarial,,,1.0,0.558563074352548,0.062115835061384524,0.1650307117816895,0.049486618168454254,2.0257220200004666,0.21892194291593456,30
CRIME,2,NN,Our Eps-Fair,0.01,,,0.6693400167084377,0.03456487456244738,0.07187079655680553,0.045660959930247914,0.010675913332791727,0.0033849423163277237,30
CRIME,2,NN,Our Eps-Fair,0.1,,,0.6994152046783626,0.03516130741128172,0.09090350529614823,0.07855394152261401,0.009940356666629669,0.002570451821338031,30
CRIME,2,NN,Our Eps-Fair,0.3,,,0.7644110275689223,0.03020454421407456,0.3009315985959164,0.07558134487547878,0.009847890000310144,0.0024310416106562097,30
CRIME,2,NN,Our Eps-Fair,0.5,,,0.8122807017543859,0.0233754999890651,0.49894972162740586,0.07258308577430428,0.011329136666002644,0.004261930120221433,30
CRIME,2,NN,Our Eps-Fair,0.9,,,0.8360066833751044,0.021252954821791223,0.6821896196503425,0.04105380728282665,0.0013980299999578468,0.00021198767251306573,30
CRIME,2,NN,Unfair,,,,0.8360066833751044,0.021252954821791223,0.6821896196503425,0.04105380728282665,,,30
CRIME,2,RF,Fairlearn,,0.0001,,0.6507101086048455,0.024025586375596937,0.05935754989514803,0.03608818634033676,8.470618563333725,5.103848544458835,30
CRIME,2,RF,Fairlearn,,0.5,,0.6489557226399332,0.03341788377472407,0.06441459348368489,0.042708652465435516,8.318175689999771,4.37880836314422,30
CRIME,2,RF,Fairlearn,,1.0,,0.6461152882205514,0.02405186675021034,0.06209259875864854,0.03982573858106456,8.413237490000272,5.161470425245424,30
CRIME,2,RF,Fairlearn,,2.5,,0.8217209690893902,0.016956644595969912,0.557901700451118,0.04256882666714714,8.861346743333222,5.17775961391869,30
CRIME,2,RF,Fairlearn,,5.0,,0.8221386800334168,0.017004478456259187,0.5687384533092,0.05314678318489856,8.45590518666686,4.816006073824197,30
CRIME,2,RF,Fairlearn,,10.0,,0.82531328320802,0.015140231070556473,0.5826911501200246,0.06180579597767627,8.546586469999966,5.1580101929210596,30
CRIME,2,RF,Our Eps-Fair,0.0,,,0.6699248120300751,0.03369682951484494,0.06619197960581343,0.04665221290907832,0.010150563333445462,0.0028225822032813546,30
CRIME,2,RF,Our Eps-Fair,0.1,,,0.7061821219715957,0.02788284073144415,0.09778987254105907,0.06607201032423586,0.009909083333453358,0.003565187885733385,30
CRIME,2,RF,Our Eps-Fair,0.2,,,0.7418546365914787,0.026277694647064035,0.19661504620770753,0.0784206415905818,0.011011633333085531,0.004453829505309528,30
CRIME,2,RF,Our Eps-Fair,0.3,,,0.77593984962406,0.024711041424140302,0.3103371420804622,0.06660454977815647,0.011007453333392429,0.0035475668703158986,30
CRIME,2,RF,Our Eps-Fair,0.4,,,0.8005847953216374,0.02493862085091459,0.40571307822193337,0.06891006841859387,0.010671590000129072,0.003070914345961902,30
CRIME,2,RF,Our Eps-Fair,0.5,,,0.819047619047619,0.01890929492293177,0.5058207497180592,0.06309151829623513,0.010070853333187794,0.0034006507680423787,30
CRIME,2,RF,Unfair,,,,0.8355054302422723,0.0179946688965601,0.6650539904378571,0.0348330430167608,0.009805099999721279,0.005396446554544235,30
CRIME,2,reglog,Fairlearn,,0.0001,,0.6772765246449457,0.02307082297575032,0.05165315548739705,0.036558765552582646,0.625703783333059,0.160942252855933,30
CRIME,2,reglog,Fairlearn,,0.5,,0.679030910609858,0.023611366807892102,0.053298617312018105,0.033561402432774896,0.6079586633330716,0.1227944401775317,30
CRIME,2,reglog,Fairlearn,,1.0,,0.6768588137009189,0.026144926695018843,0.056594308871813076,0.03463645683930208,0.5929080933332443,0.11095253143945896,30
CRIME,2,reglog,Fairlearn,,2.5,,0.8206349206349207,0.02004670411280609,0.5169507326948585,0.054015833832310206,0.5883742400001211,0.1338588463587486,30
CRIME,2,reglog,Fairlearn,,5.0,,0.8289055973266499,0.02040279812776889,0.5972316631457982,0.07531117910641182,0.5709938366664573,0.09348949337329841,30
CRIME,2,reglog,Fairlearn,,10.0,,0.8339181286549707,0.021769002596969584,0.652123868007941,0.07107909540121601,0.6182486633334823,0.13734692405488833,30
CRIME,2,reglog,Our Eps-Fair,0.0,,,0.6641604010025063,0.03073062195470296,0.06141548726862594,0.03853728378335633,0.009307103333533935,0.002840431076330277,30
CRIME,2,reglog,Our Eps-Fair,0.1,,,0.7036758563074353,0.033584368363963134,0.10131023523956845,0.06779489410932912,0.010619169999821073,0.0032070069009145713,30
CRIME,2,reglog,Our Eps-Fair,0.2,,,0.741186299081036,0.03264410543755163,0.2019621158116341,0.07421551355730678,0.01152307000035459,0.0030040044843360463,30
CRIME,2,reglog,Our Eps-Fair,0.3,,,0.7740183792815372,0.029603972310721004,0.3072575773946929,0.0850732197767565,0.011549350000132108,0.002986702410315538,30
CRIME,2,reglog,Our Eps-Fair,0.4,,,0.7966583124477861,0.02683019128740804,0.4011211551018591,0.08722215282153613,0.01088930999940203,0.003193486351893097,30
CRIME,2,reglog,Our Eps-Fair,0.5,,,0.8172096908939014,0.022713644735794725,0.5003785231077489,0.07480268682842477,0.010856586666583705,0.003099954987221148,30
CRIME,2,reglog,Unfair,,,,0.8385964912280702,0.01946470560979001,0.7104915187942973,0.040451679786715496,0.00021662333286561383,5.5020413696263564e-05,30
