Dataset,K,Repetition,Seed,Model,Method,Epsilon,FairlearnTolerance,AdversarialWeight,Accuracy,Unfairness,RuntimeSeconds
DRUG,2,0,777,reglog,Unfair,,,,0.7984084880636605,0.3296959363455527,0.0002741999996942468
DRUG,2,0,777,reglog,Our Eps-Fair,0.0,,,0.76657824933687,0.007445296959363468,0.03300249999983862
DRUG,2,0,777,reglog,Our Eps-Fair,0.1,,,0.7931034482758621,0.0876953680022734,0.02568730000029973
DRUG,2,0,777,reglog,Our Eps-Fair,0.2,,,0.7957559681697612,0.1824381926683717,0.014441199999964738
DRUG,2,0,777,reglog,Our Eps-Fair,0.3,,,0.7957559681697612,0.2584825234441603,0.0373885999997583
DRUG,2,0,777,reglog,Our Eps-Fair,0.4,,,0.7984084880636605,0.3296959363455527,0.002263200000015786
DRUG,2,0,777,reglog,Our Eps-Fair,0.5,,,0.7984084880636605,0.3296959363455527,0.002148099999885744
DRUG,2,0,777,reglog,Fairlearn,,0.0001,,0.7745358090185677,0.03475419153168513,0.658000699999775
DRUG,2,0,777,reglog,Fairlearn,,0.5,,0.76657824933687,0.018158567774936074,0.6231649999999718
DRUG,2,0,777,reglog,Fairlearn,,1.0,,0.76657824933687,0.017107132708155726,0.6353942999999163
DRUG,2,0,777,reglog,Fairlearn,,2.5,,0.7904509283819628,0.0818130150610969,0.8520397999996021
DRUG,2,0,777,reglog,Fairlearn,,5.0,,0.7931034482758621,0.20869565217391306,0.768618399999923
DRUG,2,0,777,reglog,Fairlearn,,10.0,,0.7984084880636605,0.24188689968741123,1.1222506999997677
DRUG,2,0,777,RF,Unfair,,,,0.8037135278514589,0.2967036089798238,0.006804000000101951
DRUG,2,0,777,RF,Our Eps-Fair,0.0,,,0.7745358090185677,0.013327649900539917,0.02773369999977149
DRUG,2,0,777,RF,Our Eps-Fair,0.1,,,0.7877984084880637,0.09315146348394432,0.028796499999771186
DRUG,2,0,777,RF,Our Eps-Fair,0.2,,,0.8037135278514589,0.17780619494174482,0.003990299999713898
DRUG,2,0,777,RF,Our Eps-Fair,0.3,,,0.8037135278514589,0.24208581983518046,0.021401800000148796
DRUG,2,0,777,RF,Our Eps-Fair,0.4,,,0.8037135278514589,0.2967036089798238,0.0023783999999977823
DRUG,2,0,777,RF,Our Eps-Fair,0.5,,,0.8037135278514589,0.2967036089798238,0.0021124999998392013
DRUG,2,0,777,RF,Fairlearn,,0.0001,,0.7612732095490716,0.007473714123330533,3.1786545999998452
DRUG,2,0,777,RF,Fairlearn,,0.5,,0.7692307692307693,0.01230463199772669,3.5709468000000015
DRUG,2,0,777,RF,Fairlearn,,1.0,,0.7612732095490716,0.0009661835748792091,3.7568662000003314
DRUG,2,0,777,RF,Fairlearn,,2.5,,0.8010610079575596,0.11310031258880365,4.1192707999998674
DRUG,2,0,777,RF,Fairlearn,,5.0,,0.8196286472148541,0.22276214833759594,4.2061265000002095
DRUG,2,0,777,RF,Fairlearn,,10.0,,0.8169761273209549,0.2147769252628588,7.129184200000054
DRUG,2,0,777,GBM,Unfair,,,,0.830238726790451,0.2870417732310316,0.0024857000003066787
DRUG,2,0,777,GBM,Our Eps-Fair,0.0,,,0.7771883289124668,0.016084114805342442,0.02491829999962647
DRUG,2,0,777,GBM,Our Eps-Fair,0.1,,,0.7904509283819628,0.08516624040920717,0.025060800000119343
DRUG,2,0,777,GBM,Our Eps-Fair,0.2,,,0.8143236074270557,0.17780619494174482,0.0189672999999857
DRUG,2,0,777,GBM,Our Eps-Fair,0.3,,,0.8275862068965517,0.2607843137254902,0.0360977999998795
DRUG,2,0,777,GBM,Our Eps-Fair,0.4,,,0.830238726790451,0.2870417732310316,0.00221079999982976
DRUG,2,0,777,GBM,Our Eps-Fair,0.5,,,0.830238726790451,0.2870417732310316,0.0020416000002114743
DRUG,2,0,777,GBM,Fairlearn,,0.0001,,0.76657824933687,0.0009661835748792091,1.7038532999999916
DRUG,2,0,777,GBM,Fairlearn,,0.5,,0.76657824933687,0.0020176186416595576,1.6427992000003542
DRUG,2,0,777,GBM,Fairlearn,,1.0,,0.76657824933687,0.008695652173913104,1.6193530000000464
DRUG,2,0,777,GBM,Fairlearn,,2.5,,0.830238726790451,0.142512077294686,2.0227152000002206
DRUG,2,0,777,GBM,Fairlearn,,5.0,,0.8249336870026526,0.17465188974140383,2.042435800000021
DRUG,2,0,777,GBM,Fairlearn,,10.0,,0.8196286472148541,0.16499005399261157,2.411040899999989
DRUG,2,0,777,NN,Unfair,,,,0.8063660477453581,0.3303211139528275,
DRUG,2,0,777,NN,Our Eps-Fair,0.01,,,0.76657824933687,0.015004262574595084,0.019510199999785982
DRUG,2,0,777,NN,Our Eps-Fair,0.1,,,0.7798408488063661,0.0658425689116226,0.017037300000083633
DRUG,2,0,777,NN,Our Eps-Fair,0.3,,,0.8090185676392573,0.2591077010514351,0.02316190000010465
DRUG,2,0,777,NN,Our Eps-Fair,0.5,,,0.8063660477453581,0.3303211139528275,0.00227919999997539
DRUG,2,0,777,NN,Our Eps-Fair,0.9,,,0.8063660477453581,0.3303211139528275,0.0023420000002261077
DRUG,2,0,777,NN,Fair-adversarial,,,0.01,0.7851458885941645,0.07845978971298667,3.823255700000118
DRUG,2,0,777,NN,Fair-adversarial,,,0.1,0.7957559681697612,0.20176186416595626,3.1602420999997776
DRUG,2,0,777,NN,Fair-adversarial,,,0.5,0.8090185676392573,0.18832054560954814,3.0673885999999584
DRUG,2,0,777,NN,Fair-adversarial,,,0.9,0.7957559681697612,0.16416595623756747,2.9493647000003875
DRUG,2,0,777,NN,Fair-adversarial,,,1.0,0.7188328912466844,0.029695936345552676,3.0438426999999137
DRUG,2,1,10777,reglog,Unfair,,,,0.7877984084880637,0.3651889741403808,0.00038369999992937665
DRUG,2,1,10777,reglog,Our Eps-Fair,0.0,,,0.7798408488063661,0.0049161693662972406,0.03491910000002463
DRUG,2,1,10777,reglog,Our Eps-Fair,0.1,,,0.7957559681697612,0.09482807615799943,0.034907400000065536
DRUG,2,1,10777,reglog,Our Eps-Fair,0.2,,,0.7957559681697612,0.18473998294970168,0.032579200000327546
DRUG,2,1,10777,reglog,Our Eps-Fair,0.3,,,0.7984084880636605,0.2462915601023018,0.015781699999934062
DRUG,2,1,10777,reglog,Our Eps-Fair,0.4,,,0.7851458885941645,0.36035805626598466,0.02167379999991681
DRUG,2,1,10777,reglog,Our Eps-Fair,0.5,,,0.7877984084880637,0.3651889741403808,0.0027334999999766296
DRUG,2,1,10777,reglog,Fairlearn,,0.0001,,0.7692307692307693,0.03037794828076157,0.6905486000000565
DRUG,2,1,10777,reglog,Fairlearn,,0.5,,0.76657824933687,0.035208866155157725,0.6349765999998453
DRUG,2,1,10777,reglog,Fairlearn,,1.0,,0.76657824933687,0.035208866155157725,0.5644763000000239
DRUG,2,1,10777,reglog,Fairlearn,,2.5,,0.7771883289124668,0.021511793123046352,0.6585233999999218
DRUG,2,1,10777,reglog,Fairlearn,,5.0,,0.7957559681697612,0.2736004546746235,0.5446176000000378
DRUG,2,1,10777,reglog,Fairlearn,,10.0,,0.7877984084880637,0.3651889741403808,1.0366699999999582
DRUG,2,1,10777,RF,Unfair,,,,0.8063660477453581,0.3132992327365729,0.007643200000075012
DRUG,2,1,10777,RF,Our Eps-Fair,0.0,,,0.7612732095490716,0.023444160272804826,0.029182599999785452
DRUG,2,1,10777,RF,Our Eps-Fair,0.1,,,0.7904509283819628,0.11310031258880365,0.012828499999613996
DRUG,2,1,10777,RF,Our Eps-Fair,0.2,,,0.8063660477453581,0.20090934924694515,0.015809600000011415
