Dataset,K,Model,Method,Epsilon,FairlearnTolerance,AdversarialWeight,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions
DRUG,2,GBM,Fairlearn,,0.0001,,0.7660477453580902,0.020000628365371302,0.03338876882625013,0.026737270037308598,1.477799386434102,0.7122536038651749,30
DRUG,2,GBM,Fairlearn,,0.5,,0.7645446507515473,0.018465219521622802,0.035637096020440226,0.02875794468419137,1.4924828884667174,0.7251125007620627,30
DRUG,2,GBM,Fairlearn,,1.0,,0.7644562334217506,0.02014566745428621,0.033936528901746574,0.028956474081912948,1.4825305785324114,0.7793200162314758,30
DRUG,2,GBM,Fairlearn,,2.5,,0.7970822281167109,0.018134659759315858,0.15963034066376125,0.06175083620931249,1.6228081305991509,0.9197302968543487,30
DRUG,2,GBM,Fairlearn,,5.0,,0.8106984969053934,0.016941267678337084,0.23895018351602168,0.04407305792706081,1.6278163572016637,0.9448747369178545,30
DRUG,2,GBM,Fairlearn,,10.0,,0.8110521662245801,0.014556533260673068,0.26118623290777293,0.050012763108239995,2.6428074945671445,1.375539268887688,30
DRUG,2,GBM,Our Eps-Fair,0.0,,,0.7670203359858532,0.01766478173869496,0.03705678481207863,0.03290978077359654,0.007037061600325008,0.002214140309116049,30
DRUG,2,GBM,Our Eps-Fair,0.1,,,0.7907161803713528,0.019483868605229722,0.10739910394210586,0.04502756979039188,0.006384855334181339,0.001984873900468386,30
DRUG,2,GBM,Our Eps-Fair,0.2,,,0.8072502210433244,0.017265401769507773,0.2080120410169405,0.05000037037520312,0.006587046067094585,0.002055888274892988,30
DRUG,2,GBM,Our Eps-Fair,0.3,,,0.8117595048629532,0.015645810296174546,0.28493802604243584,0.04539455140879052,0.003694248466248003,0.0030176077997953223,30
DRUG,2,GBM,Our Eps-Fair,0.4,,,0.8132625994694961,0.016595710186469395,0.3057468179286506,0.03980172302192021,0.0011060345010870758,0.000591721355236039,30
DRUG,2,GBM,Our Eps-Fair,0.5,,,0.8134394341290893,0.016751888005701,0.306883289095781,0.04156085425700537,0.001006042866113906,0.00023183560278626533,30
DRUG,2,GBM,Unfair,,,,0.8134394341290893,0.016751888005701,0.306883289095781,0.04156085425700537,0.0012112553013139404,0.00026834411546810253,30
DRUG,2,NN,Fair-adversarial,,,0.01,0.8097259062776304,0.020296046158459046,0.36275413673994683,0.07304901146427657,1.476355618769594,0.13425300272960952,30
DRUG,2,NN,Fair-adversarial,,,0.1,0.8105216622458002,0.01772784759562882,0.2805450543703938,0.06393766490888053,1.4468981980675986,0.13777589021155878,30
DRUG,2,NN,Fair-adversarial,,,0.5,0.7996463306808135,0.0198096736318441,0.20855391436874135,0.0853090899832449,1.4146728055988205,0.0898530743645417,30
DRUG,2,NN,Fair-adversarial,,,0.9,0.7650751547303272,0.07593962634742611,0.1909160288051592,0.07296805182929712,1.466411480799919,0.17848009932577075,30
DRUG,2,NN,Fair-adversarial,,,1.0,0.7554376657824934,0.08172469174351098,0.1946384623773158,0.09477921020975107,1.4729140454665564,0.17834322444879996,30
DRUG,2,NN,Our Eps-Fair,0.01,,,0.7708222811671087,0.02120414652410241,0.04315760964555313,0.03279922993772798,0.007508876801390822,0.002220983053646046,30
DRUG,2,NN,Our Eps-Fair,0.1,,,0.792396109637489,0.02029604615845905,0.10063699219687235,0.05117779074836681,0.006767668467364274,0.0021580200044320637,30
DRUG,2,NN,Our Eps-Fair,0.3,,,0.8097259062776304,0.018137112332402186,0.302397483665213,0.050661034036724895,0.0057116692002940304,0.0026934488294045504,30
DRUG,2,NN,Our Eps-Fair,0.5,,,0.8091954022988506,0.016789501319539855,0.34610301311482855,0.04055538062888958,0.0010507951670054656,0.00011703802982246863,30
DRUG,2,NN,Our Eps-Fair,0.9,,,0.8091954022988506,0.016789501319539855,0.34610301311482855,0.04055538062888958,0.0010043339992989787,0.0002299236629421608,30
DRUG,2,NN,Unfair,,,,0.8091954022988506,0.016789501319539855,0.34610301311482855,0.04055538062888958,,,30
DRUG,2,RF,Fairlearn,,0.0001,,0.7655172413793103,0.024692961334413975,0.03369000141287179,0.03097947296338396,3.158484707867319,1.5488858000547334,30
DRUG,2,RF,Fairlearn,,0.5,,0.7648983200707338,0.02084507213140582,0.03458779211995094,0.022948632959561108,3.2068621817675496,1.609503392242279,30
DRUG,2,RF,Fairlearn,,1.0,,0.7618921308576481,0.021319206933585688,0.03218982588085829,0.030170467044034185,3.025364922665661,1.5229998401076927,30
DRUG,2,RF,Fairlearn,,2.5,,0.8062776304155614,0.015583659789478803,0.18619342383941107,0.04477358251685694,3.359966153034475,1.7209893778831908,30
DRUG,2,RF,Fairlearn,,5.0,,0.814500442086649,0.01600531370032423,0.24466529919653146,0.04641792957975584,3.1639914578651465,1.7787979081871779,30
DRUG,2,RF,Fairlearn,,10.0,,0.8152961980548188,0.017239385700911835,0.2588152438554236,0.041436921359106794,4.817509446865976,2.1609848727212553,30
DRUG,2,RF,Our Eps-Fair,0.0,,,0.7686118479221927,0.021353320112322015,0.04062901835324788,0.031545037894389914,0.010995310634704462,0.006110448494781898,30
DRUG,2,RF,Our Eps-Fair,0.1,,,0.7928381962864722,0.017447355085410118,0.09696506382922906,0.05087383181693671,0.009459139897565668,0.004992293894422912,30
DRUG,2,RF,Our Eps-Fair,0.2,,,0.8092838196286471,0.01647466035619863,0.20099302959058812,0.047319397085569856,0.010053019334251682,0.005673786966649936,30
DRUG,2,RF,Our Eps-Fair,0.3,,,0.8157382847038019,0.015788596340792306,0.2800445086069254,0.03611322858654591,0.00439215509929151,0.0037243797846212923,30
DRUG,2,RF,Our Eps-Fair,0.4,,,0.8156498673740054,0.016377176302988166,0.2939577074575187,0.032535979493509455,0.0012773456672827402,0.0007763752196269073,30
DRUG,2,RF,Our Eps-Fair,0.5,,,0.8157382847038019,0.016539086032283545,0.2959694790656112,0.034278993926425104,0.0011139446680317633,0.00023206807912421216,30
DRUG,2,RF,Unfair,,,,0.8157382847038019,0.016539086032283545,0.2959694790656112,0.034278993926425104,0.007944809699256438,0.0047882885039144405,30
DRUG,2,reglog,Fairlearn,,0.0001,,0.7760389036251105,0.019338047926458435,0.03631834464671407,0.03005495530626293,0.32450431146668657,0.08698080208687987,30
DRUG,2,reglog,Fairlearn,,0.5,,0.7749778956675508,0.020045258931918997,0.03326612923328498,0.029968448946722293,0.32990348456660284,0.07557426332519261,30
DRUG,2,reglog,Fairlearn,,1.0,,0.7768346595932802,0.01988302191530944,0.037159815061426044,0.02630312261061465,0.3241103673669083,0.08266905168863604,30
DRUG,2,reglog,Fairlearn,,2.5,,0.784261715296198,0.01779137174206441,0.0721556400955293,0.05126304583862493,0.3285161234661549,0.08953725150300823,30
DRUG,2,reglog,Fairlearn,,5.0,,0.8075154730327144,0.018517701244252317,0.25529061620328203,0.048782782920447215,0.3133475866993346,0.08878193006582981,30
DRUG,2,reglog,Fairlearn,,10.0,,0.8086648983200707,0.017115800906761944,0.3087575968479068,0.06949341206070025,0.5556023874004798,0.13484676945652077,30
DRUG,2,reglog,Our Eps-Fair,0.0,,,0.7739168877099911,0.019735438093017175,0.04059240759787164,0.027192961707741447,0.012338773233932444,0.0055490707584429306,30
DRUG,2,reglog,Our Eps-Fair,0.1,,,0.7916003536693191,0.018491479001868733,0.10559455110682459,0.0489260808646953,0.011463379135238937,0.005245575705094038,30
DRUG,2,reglog,Our Eps-Fair,0.2,,,0.8042440318302387,0.019183321742603506,0.2087672028270601,0.058857651439529486,0.012181379968630305,0.005603372306132558,30
DRUG,2,reglog,Our Eps-Fair,0.3,,,0.8117595048629531,0.017281554180311742,0.3105449962872789,0.046503695149815,0.011546308833446043,0.007927746553225971,30
DRUG,2,reglog,Our Eps-Fair,0.4,,,0.8115826702033598,0.016373225354213105,0.36261105043845737,0.03544573749491916,0.0027647441340377553,0.0031148814176990072,30
DRUG,2,reglog,Our Eps-Fair,0.5,,,0.8114942528735632,0.016141163318439254,0.36559291413103623,0.03760399011518199,0.0015134789655955197,0.0005622647542056041,30
DRUG,2,reglog,Unfair,,,,0.8114942528735632,0.016141163318439254,0.36559291413103623,0.03760399011518199,0.00014706089762815585,3.654846268038057e-05,30
