Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,0,777,reglog,{},paper,Unfair,,,0.48010610079575594,0.3657241810026685,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.0,,0.4509283819628647,0.09172202350536535,True,0,Optimization terminated successfully,18.0,0.02241160100675188,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.1,,0.47745358090185674,0.15863282802475442,True,0,Optimization terminated successfully,21.0,0.02650556199660059,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.2,,0.4907161803713528,0.21501163913018795,True,0,Optimization terminated successfully,18.0,0.023863369002356194,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.3,,0.4880636604774536,0.3346107988417646,True,0,Optimization terminated successfully,10.0,0.013142620999133214,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.4,,0.48010610079575594,0.3657241810026685,True,0,Optimization terminated successfully,1.0,0.0013781070010736585,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.5,,0.48010610079575594,0.3657241810026685,True,0,Optimization terminated successfully,1.0,0.001432078002835624,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.0,0.46419098143236076,0.08383012547550106,True,completed_without_exception,convergence_not_observable,,3.050129951981944,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.1,0.46153846153846156,0.1372849599727474,True,completed_without_exception,convergence_not_observable,,2.940562027011765,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.2,0.4827586206896552,0.18792937035144494,True,completed_without_exception,convergence_not_observable,,2.9964926980028395,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.5,0.48010610079575594,0.3657241810026685,True,completed_without_exception,convergence_not_observable,,2.901342854005634,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.75,0.48010610079575594,0.3657241810026685,True,completed_without_exception,convergence_not_observable,,2.901569666006253,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,Fair-transport,,0.0,0.44297082228116713,0.055754272412422645,True,completed_without_exception,optimal,,0.06168953598535154,optimal,,,,,,3.671852627507022e-09,0.5817864173940643,CLARABEL,OSQP
DRUG,4,0,777,reglog,{},paper,Fair-transport,,0.1,0.46684350132625996,0.15763924374041904,True,completed_without_exception,optimal,,0.06087127800856251,optimal,,,,,,0.10000000796405537,0.5646484307138161,CLARABEL,OSQP
DRUG,4,0,777,reglog,{},paper,Fair-transport,,0.2,0.4880636604774536,0.21214443876682,True,completed_without_exception,optimal,,0.05127066899149213,optimal,,,,,,0.2000000003729753,0.5588364478404709,CLARABEL,OSQP
DRUG,4,0,777,reglog,{},paper,Fair-transport,,0.3,0.493368700265252,0.3291602793391245,True,completed_without_exception,optimal,,0.05954272800590843,optimal,,,,,,0.3000000026258733,0.5568854457256498,CLARABEL,OSQP
DRUG,4,0,777,reglog,{},paper,Fair-transport,,0.4,0.46684350132625996,0.3899960256628627,True,completed_without_exception,optimal,,0.057907786991563626,optimal,,,,,,0.34003978654393713,0.5567086346174034,CLARABEL,OSQP
