Dataset,K,Model,Method,Epsilon,Alpha,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions,OptimizerSuccessRate
CRIME,5,GBM,Fair-transport,,0.0,0.39306599832915623,0.03454074032394156,0.1107083068824876,0.061527795663248515,0.1389894300007048,0.009628107800463715,30,1.0
CRIME,5,GBM,Fair-transport,,0.1,0.4238095238095238,0.035225417181063416,0.17447089203545757,0.06642117160652608,0.14842344999973042,0.07830300993566092,30,1.0
CRIME,5,GBM,Fair-transport,,0.2,0.45304928989139515,0.031057917530692293,0.26181631367822783,0.05634931354454883,0.12793313333386322,0.00488376140036293,30,1.0
CRIME,5,GBM,Fair-transport,,0.3,0.47610693400167087,0.030536060113373786,0.34399355304913104,0.05303037530422775,0.1274780600005518,0.003983469779344416,30,1.0
CRIME,5,GBM,Fair-transport,,0.4,0.4908939014202172,0.02559907610967714,0.41373090046854516,0.05194205080985046,0.11841727666724182,0.013970281168986355,30,1.0
CRIME,5,GBM,FairProjection,,0.0,,,,,,,30,0.0
CRIME,5,GBM,FairProjection,,0.1,,,,,,,30,0.0
CRIME,5,GBM,FairProjection,,0.2,,,,,,,30,0.0
CRIME,5,GBM,FairProjection,,0.5,,,,,,,30,0.0
CRIME,5,GBM,FairProjection,,0.75,,,,,,,30,0.0
CRIME,5,GBM,Our Eps-Fair,0.0,,0.3830409356725146,0.02961860179181525,0.08204286406340792,0.03220005686925662,0.06187730666655019,0.014593589002038838,30,1.0
CRIME,5,GBM,Our Eps-Fair,0.1,,0.4200501253132832,0.029790081227164242,0.15369924291956286,0.04772468928011476,0.05613440666614527,0.008865432116846964,30,1.0
CRIME,5,GBM,Our Eps-Fair,0.2,,0.4516290726817042,0.03230036369828871,0.2530225692998439,0.051680229611010514,0.05351901999990029,0.010484865775967994,30,1.0
CRIME,5,GBM,Our Eps-Fair,0.3,,0.47593984962406016,0.02941509058478784,0.34249132383575354,0.04384997668092988,0.043396280000524715,0.012129972430164745,30,1.0
CRIME,5,GBM,Our Eps-Fair,0.4,,0.49014202172096905,0.02622557663975795,0.4082683070834253,0.05240108679648937,0.02418069666637166,0.010720545086212896,30,1.0
CRIME,5,GBM,Our Eps-Fair,0.5,,0.4949874686716792,0.024359241313441388,0.456232141377647,0.04700373010854604,0.00706328666662254,0.008493166561916904,30,1.0
CRIME,5,GBM,Unfair,,,0.4957393483709273,0.024186571907388384,0.46481059739261166,0.05246148236842747,0.0,0.0,30,1.0
CRIME,5,RF,Fair-transport,,0.0,0.39924812030075185,0.03954081069321251,0.10600235230441787,0.06812991021886292,0.12768465333344162,0.00536787004504415,30,1.0
CRIME,5,RF,Fair-transport,,0.1,0.433500417710944,0.03555672165066489,0.17740360042811487,0.06791748291923151,0.12632896333331398,0.0025442622009572463,30,1.0
