Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,0,777,reglog,{},paper,Unfair,,,0.48010610079575594,0.3657241810026685,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.0,,0.4509283819628647,0.09172202350536535,True,0,Optimization terminated successfully,18.0,0.019786645003478043,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.1,,0.47745358090185674,0.15863282802475442,True,0,Optimization terminated successfully,21.0,0.02350703999400139,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.2,,0.4907161803713528,0.21501163913018795,True,0,Optimization terminated successfully,18.0,0.021610625000903383,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.3,,0.4880636604774536,0.3346107988417646,True,0,Optimization terminated successfully,10.0,0.011992953994194977,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.4,,0.48010610079575594,0.3657241810026685,True,0,Optimization terminated successfully,1.0,0.0012925589981023222,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,Our Eps-Fair,0.5,,0.48010610079575594,0.3657241810026685,True,0,Optimization terminated successfully,1.0,0.0012118559970986098,completed_without_exception,,,,,,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.0,0.493368700265252,0.35116107420655196,True,completed_without_exception,convergence_not_observable,,0.32208981200528797,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.1,0.48010610079575594,0.35987622778629424,True,completed_without_exception,convergence_not_observable,,0.03405964899866376,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.2,0.47480106100795755,0.3588826435019588,True,completed_without_exception,convergence_not_observable,,0.034693009991315193,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.5,0.46949602122015915,0.35303469028558454,True,completed_without_exception,convergence_not_observable,,0.04492834200209472,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.75,0.46949602122015915,0.35303469028558454,True,completed_without_exception,convergence_not_observable,,0.043118118002894334,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,Fair-transport,,0.0,0.44297082228116713,0.055754272412422645,True,completed_without_exception,optimal,,0.07041649200255051,optimal,,,,,,3.671852627507022e-09,0.5817864173940643,CLARABEL,OSQP
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Unfair,,,0.46419098143236076,0.2540169193209561,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Our Eps-Fair,0.0,,0.4827586206896552,0.056236870493385605,True,0,Optimization terminated successfully,11.0,0.012479904005886056,completed_without_exception,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Our Eps-Fair,0.1,,0.4562334217506631,0.17782319877363312,True,0,Optimization terminated successfully,15.0,0.016829568005050533,completed_without_exception,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Our Eps-Fair,0.2,,0.46419098143236076,0.24331459717254297,True,0,Optimization terminated successfully,5.0,0.005547570006456226,completed_without_exception,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Our Eps-Fair,0.3,,0.46419098143236076,0.2540169193209561,True,0,Optimization terminated successfully,1.0,0.0011741929920390248,completed_without_exception,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Our Eps-Fair,0.4,,0.46419098143236076,0.2540169193209561,True,0,Optimization terminated successfully,1.0,0.0011303919891361147,completed_without_exception,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Our Eps-Fair,0.5,,0.46419098143236076,0.2540169193209561,True,0,Optimization terminated successfully,1.0,0.0011364519887138158,completed_without_exception,,,,,,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.0,0.46153846153846156,0.2226196559359564,True,completed_without_exception,convergence_not_observable,,0.07258662799722515,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.1,0.46419098143236076,0.2267643218077556,True,completed_without_exception,convergence_not_observable,,0.07108759599213954,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.2,0.46419098143236076,0.2267643218077556,True,completed_without_exception,convergence_not_observable,,0.07195423600205686,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.5,0.46419098143236076,0.2267643218077556,True,completed_without_exception,convergence_not_observable,,0.0755209399794694,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.75,0.46419098143236076,0.23261227502412987,True,completed_without_exception,convergence_not_observable,,0.07343981599842664,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Fair-transport,,0.0,0.47480106100795755,0.05524328620905017,True,completed_without_exception,optimal,,0.05920776601124089,optimal,,,,,,5.846513190244096e-09,0.5706603870965006,CLARABEL,OSQP
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Unfair,,,0.46153846153846156,0.20916368591381368,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Our Eps-Fair,0.0,,0.46684350132625996,0.10512121728268892,True,0,Optimization terminated successfully,24.0,0.02611228400201071,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Our Eps-Fair,0.1,,0.4588859416445623,0.18775904161698748,True,0,Optimization terminated successfully,25.0,0.02671032199577894,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Our Eps-Fair,0.2,,0.46153846153846156,0.20916368591381368,True,0,Optimization terminated successfully,1.0,0.0013048190012341365,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Our Eps-Fair,0.3,,0.46153846153846156,0.20916368591381368,True,0,Optimization terminated successfully,1.0,0.001303897995967418,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Our Eps-Fair,0.4,,0.46153846153846156,0.20916368591381368,True,0,Optimization terminated successfully,1.0,0.0012727540015475824,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Our Eps-Fair,0.5,,0.46153846153846156,0.20916368591381368,True,0,Optimization terminated successfully,1.0,0.0011817039921879768,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.0,0.46153846153846156,0.19846136376540058,True,completed_without_exception,convergence_not_observable,,0.03667577001033351,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.1,0.46153846153846156,0.19846136376540058,True,completed_without_exception,convergence_not_observable,,0.03831401400384493,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.2,0.46153846153846156,0.2033157326974394,True,completed_without_exception,convergence_not_observable,,0.041021178010851145,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
