Dataset,K,Model,Method,Epsilon,Alpha,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions,OptimizerSuccessRate
CRIME,5,GBM,Fair-transport,,0.0,0.41353383458646614,,0.13414263267271528,,0.11916800000471994,,1,1.0
CRIME,5,GBM,FairProjection,,0.0,,,,,,,1,0.0
CRIME,5,GBM,FairProjection,,0.1,,,,,,,1,0.0
CRIME,5,GBM,FairProjection,,0.2,,,,,,,1,0.0
CRIME,5,GBM,FairProjection,,0.5,,,,,,,1,0.0
CRIME,5,GBM,FairProjection,,0.75,,,,,,,1,0.0
CRIME,5,GBM,Our Eps-Fair,0.0,,0.41604010025062654,,0.12861777079426226,,0.05121760000110953,,1,1.0
CRIME,5,GBM,Our Eps-Fair,0.1,,0.44862155388471175,,0.22880024329666987,,0.05248399999982212,,1,1.0
CRIME,5,GBM,Our Eps-Fair,0.2,,0.46115288220551376,,0.3114704242485681,,0.06063759999960894,,1,1.0
CRIME,5,GBM,Our Eps-Fair,0.3,,0.47869674185463656,,0.394241978812915,,0.031157499997789273,,1,1.0
CRIME,5,GBM,Our Eps-Fair,0.4,,0.49373433583959897,,0.4724263774139591,,0.026284399998985464,,1,1.0
CRIME,5,GBM,Our Eps-Fair,0.5,,0.49874686716791977,,0.47795123929241223,,0.0024728999997023493,,1,1.0
CRIME,5,GBM,Unfair,,,0.49874686716791977,,0.47795123929241223,,0.0,,1,1.0
CRIME,5,RF,Fair-transport,,0.0,0.42355889724310775,,0.11538851436970957,,0.12503590000414988,,1,1.0
CRIME,5,RF,FairProjection,,0.0,,,,,,,1,0.0
CRIME,5,RF,FairProjection,,0.1,,,,,,,1,0.0
CRIME,5,RF,FairProjection,,0.2,,,,,,,1,0.0
CRIME,5,RF,FairProjection,,0.5,,,,,,,1,0.0
CRIME,5,RF,FairProjection,,0.75,,,,,,,1,0.0
CRIME,5,RF,Our Eps-Fair,0.0,,0.41353383458646614,,0.12550053221146534,,0.04818119999981718,,1,1.0
CRIME,5,RF,Our Eps-Fair,0.1,,0.44360902255639095,,0.18642607329312183,,0.04644660000121803,,1,1.0
CRIME,5,RF,Our Eps-Fair,0.2,,0.48120300751879697,,0.26643519691824213,,0.05213690000164206,,1,1.0
CRIME,5,RF,Our Eps-Fair,0.3,,0.47869674185463656,,0.3573419838815956,,0.04205469999942579,,1,1.0
CRIME,5,RF,Our Eps-Fair,0.4,,0.5087719298245614,,0.43740179431294035,,0.03095960000064224,,1,1.0
CRIME,5,RF,Our Eps-Fair,0.5,,0.5112781954887218,,0.5053221146535557,,0.0023068000009516254,,1,1.0
CRIME,5,RF,Unfair,,,0.5112781954887218,,0.5053221146535557,,0.0,,1,1.0
CRIME,5,reglog,Fair-transport,,0.0,0.41102756892230574,,0.23156267423589638,,0.12933840000187047,,1,1.0
CRIME,5,reglog,FairProjection,,0.0,,,,,,,1,0.0
CRIME,5,reglog,FairProjection,,0.1,,,,,,,1,0.0
