Figure,Panel,Repetition,Seed,Size,Method,Epsilon,Accuracy,Unfairness,ReferenceAccuracy,ReferenceUnfairness,RuntimeSeconds,ExcessRisk,UnfairnessDifference
10,TrainingSize,0,1777,100,Unfair,,0.61,0.2115017810036775,0.9785,0.1625154917442785,,0.36850000000000005,0.04898628925939899
10,TrainingSize,0,1777,100,Our Eps-Fair,0.0,0.54775,0.026155139708843964,0.74525,0.018746854460234746,,0.1975,0.007408285248609217
10,TrainingSize,0,1777,100,Our Eps-Fair,0.05,0.57875,0.0517124862271299,0.817,0.04473173186762744,,0.23824999999999996,0.006980754359502461
10,TrainingSize,0,1777,100,Our Eps-Fair,0.1,0.606,0.1119915913924781,0.89625,0.09625295427594643,,0.29025,0.01573863711653166
10,TrainingSize,0,1777,100,Our Eps-Fair,0.15,0.61075,0.14940504451446618,0.96225,0.1471838840356216,,0.35150000000000003,0.002221160478844575
10,TrainingSize,0,1777,200,Unfair,,0.73975,0.19536586518375954,0.9785,0.1625154917442785,,0.23875000000000002,0.03285037343948102
10,TrainingSize,0,1777,200,Our Eps-Fair,0.0,0.648,0.022267358816674493,0.74525,0.018746854460234746,,0.09724999999999995,0.0035205043564397465
10,TrainingSize,0,1777,200,Our Eps-Fair,0.05,0.685,0.050859674611490685,0.817,0.04473173186762744,,0.1319999999999999,0.006127942743863246
10,TrainingSize,0,1777,200,Our Eps-Fair,0.1,0.72125,0.11489830140227632,0.89625,0.09625295427594643,,0.17500000000000004,0.018645347126329884
10,TrainingSize,0,1777,200,Our Eps-Fair,0.15,0.73975,0.1493625414436193,0.96225,0.1471838840356216,,0.22250000000000003,0.0021786574079976917
10,TrainingSize,0,1777,300,Unfair,,0.767,0.20097152019233394,0.9785,0.1625154917442785,,0.21150000000000002,0.03845602844805543
10,TrainingSize,0,1777,300,Our Eps-Fair,0.0,0.66,0.026225144766709396,0.74525,0.018746854460234746,,0.08524999999999994,0.00747829030647465
10,TrainingSize,0,1777,300,Our Eps-Fair,0.05,0.70875,0.05998783412101524,0.817,0.04473173186762744,,0.10824999999999996,0.015256102253387804
10,TrainingSize,0,1777,300,Our Eps-Fair,0.1,0.7445,0.12147102628164885,0.89625,0.09625295427594643,,0.15174999999999994,0.02521807200570242
10,TrainingSize,0,1777,300,Our Eps-Fair,0.15,0.76225,0.16501242214750014,0.96225,0.1471838840356216,,0.20000000000000007,0.01782853811187854
10,TrainingSize,0,1777,400,Unfair,,0.79175,0.20355245666499402,0.9785,0.1625154917442785,,0.18675000000000008,0.04103696492071551
10,TrainingSize,0,1777,400,Our Eps-Fair,0.0,0.67225,0.03276386718940444,0.74525,0.018746854460234746,,0.07299999999999995,0.014017012729169692
10,TrainingSize,0,1777,400,Our Eps-Fair,0.05,0.72425,0.06521771197969053,0.817,0.04473173186762744,,0.09275,0.020485980112063096
10,TrainingSize,0,1777,400,Our Eps-Fair,0.1,0.767,0.10717724355584692,0.89625,0.09625295427594643,,0.12924999999999998,0.010924289279900481
10,TrainingSize,0,1777,400,Our Eps-Fair,0.15,0.78975,0.15312206306905674,0.96225,0.1471838840356216,,0.1725000000000001,0.005938179033435131
10,TrainingSize,0,1777,500,Unfair,,0.7975,0.199705178699161,0.9785,0.1625154917442785,,0.18100000000000005,0.03718968695488248
10,TrainingSize,0,1777,500,Our Eps-Fair,0.0,0.674,0.03125950849948911,0.74525,0.018746854460234746,,0.07124999999999992,0.012512654039254362
10,TrainingSize,0,1777,500,Our Eps-Fair,0.05,0.7155,0.06185196880474614,0.817,0.04473173186762744,,0.10149999999999992,0.0171202369371187
10,TrainingSize,0,1777,500,Our Eps-Fair,0.1,0.7655,0.1209497386186152,0.89625,0.09625295427594643,,0.13075000000000003,0.024696784342668768
10,TrainingSize,0,1777,500,Our Eps-Fair,0.15,0.7965,0.16320679169069965,0.96225,0.1471838840356216,,0.16575000000000006,0.01602290765507805
10,TrainingSize,0,1777,600,Unfair,,0.8,0.19811581386755192,0.9785,0.1625154917442785,,0.1785,0.03560032212327341
10,TrainingSize,0,1777,600,Our Eps-Fair,0.0,0.6905,0.025883370073487816,0.74525,0.018746854460234746,,0.054749999999999965,0.007136515613253069
10,TrainingSize,0,1777,600,Our Eps-Fair,0.05,0.73325,0.05918227591943517,0.817,0.04473173186762744,,0.08374999999999999,0.014450544051807734
10,TrainingSize,0,1777,600,Our Eps-Fair,0.1,0.77225,0.10062251997706836,0.89625,0.09625295427594643,,0.124,0.00436956570112193
10,TrainingSize,0,1777,600,Our Eps-Fair,0.15,0.79875,0.15849070095314385,0.96225,0.1471838840356216,,0.1635000000000001,0.01130681691752225
10,TrainingSize,0,1777,700,Unfair,,0.81875,0.19868810521560187,0.9785,0.1625154917442785,,0.15975000000000006,0.03617261347132336
10,TrainingSize,0,1777,700,Our Eps-Fair,0.0,0.7,0.02045522789021506,0.74525,0.018746854460234746,,0.04525000000000001,0.0017083734299803144
10,TrainingSize,0,1777,700,Our Eps-Fair,0.05,0.7525,0.06189447187559299,0.817,0.04473173186762744,,0.0645,0.017162740007965555
