Figure,Panel,Size,Method,Epsilon,ExcessRiskMean,ExcessRiskStd,UnfairnessDifferenceMean,UnfairnessDifferenceStd,Repetitions
10,PoolSize,20,Our Eps-Fair,0.0,0.046783333333333336,0.07025052869273793,0.17810529838498385,0.0724173401070588,30
10,PoolSize,20,Our Eps-Fair,0.05,0.06856666666666666,0.06611057004189547,0.1517360666786092,0.062129559230531956,30
10,PoolSize,20,Our Eps-Fair,0.1,0.11861666666666666,0.06626555553660372,0.09934831915646214,0.03448973116335278,30
10,PoolSize,20,Our Eps-Fair,0.15,0.15672500000000003,0.048461785068948555,0.042146456362336826,0.02472217855621772,30
10,PoolSize,40,Our Eps-Fair,0.0,0.0441,0.06733128980055926,0.14150005999079873,0.061285452309959396,30
10,PoolSize,40,Our Eps-Fair,0.05,0.06518333333333333,0.06392583705887754,0.11504099862327871,0.058844558664696095,30
10,PoolSize,40,Our Eps-Fair,0.1,0.09401666666666667,0.040887615807684144,0.07379029538486653,0.03425557932529957,30
10,PoolSize,40,Our Eps-Fair,0.15,0.13345,0.03240565882894423,0.025420745131946167,0.021518978841357738,30
10,PoolSize,60,Our Eps-Fair,0.0,0.044508333333333344,0.057889962627285456,0.1182093713532085,0.07034371353810696,30
10,PoolSize,60,Our Eps-Fair,0.05,0.05275833333333333,0.043274857483646144,0.08767216789871854,0.040136130422928996,30
10,PoolSize,60,Our Eps-Fair,0.1,0.08840833333333335,0.0323863718766603,0.06342559184762948,0.033539180569137385,30
10,PoolSize,60,Our Eps-Fair,0.15,0.13103333333333333,0.028689684357025385,0.02334043877742264,0.02370134639515437,30
10,PoolSize,80,Our Eps-Fair,0.0,0.044475,0.05527288689639859,0.10051897190972267,0.06551563204081304,30
10,PoolSize,80,Our Eps-Fair,0.05,0.04419166666666666,0.044018250688528736,0.07617672548171486,0.040176944839499414,30
10,PoolSize,80,Our Eps-Fair,0.1,0.07787500000000001,0.03199324753648861,0.05828616122935578,0.030067065532673246,30
10,PoolSize,80,Our Eps-Fair,0.15,0.12169166666666668,0.026312584124964494,0.018763170812684395,0.023092915337728392,30
10,PoolSize,100,Our Eps-Fair,0.0,0.04376666666666667,0.04702360620188422,0.07861603392322727,0.044887479618248786,30
10,PoolSize,100,Our Eps-Fair,0.05,0.045274999999999996,0.032306542921167546,0.05927080483980381,0.04279603630834413,30
10,PoolSize,100,Our Eps-Fair,0.1,0.07658333333333332,0.026905672819780166,0.05453178022886075,0.03114911473125062,30
10,PoolSize,100,Our Eps-Fair,0.15,0.11704166666666667,0.020360234583590903,0.01978517630538813,0.020218575561156256,30
10,PoolSize,120,Our Eps-Fair,0.0,0.04525,0.04212087491313869,0.07159440053253707,0.04510682773149726,30
10,PoolSize,120,Our Eps-Fair,0.05,0.044,0.032257450355666295,0.056428188067246234,0.027809359732454887,30
10,PoolSize,120,Our Eps-Fair,0.1,0.07433333333333333,0.026811790809954876,0.05683093612077688,0.02755698203262007,30
10,PoolSize,120,Our Eps-Fair,0.15,0.11417500000000001,0.022231166961784947,0.018596687042284437,0.017429637808171475,30
10,PoolSize,140,Our Eps-Fair,0.0,0.039725,0.04850845775880667,0.0763233749245729,0.048520917569895475,30
10,PoolSize,140,Our Eps-Fair,0.05,0.043875,0.03828493164913984,0.05368973616306553,0.031225812836951885,30
10,PoolSize,140,Our Eps-Fair,0.1,0.07248333333333333,0.028159867913744554,0.05058327388957608,0.024129064068390736,30
10,PoolSize,140,Our Eps-Fair,0.15,0.11055833333333334,0.01819455244038026,0.015568763992193483,0.013377703611549944,30
10,PoolSize,160,Our Eps-Fair,0.0,0.03403333333333333,0.04418708918422566,0.06537759545863198,0.0399369974507388,30
10,PoolSize,160,Our Eps-Fair,0.05,0.04539166666666668,0.03915154483087069,0.05270461218548776,0.033757051676137066,30
10,PoolSize,160,Our Eps-Fair,0.1,0.07036666666666667,0.03008405848140579,0.04824995947681351,0.029666789680818907,30
10,PoolSize,160,Our Eps-Fair,0.15,0.10904166666666669,0.018709794057609527,0.01876155847986565,0.017557150465988654,30
10,PoolSize,180,Our Eps-Fair,0.0,0.037641666666666664,0.04501277037826528,0.058919243671072284,0.03318559856773136,30
