Figure,Repetition,Seed,DistributionSeed,p,Accuracy,Unfairness,RuntimeSeconds
1,0,778,777,0.5,0.9848,0.014579337208014853,0.0
1,0,779,777,0.6,0.9856,0.08057221540464707,0.0
1,0,780,777,0.7,0.9846,0.1476980950044261,0.0
1,0,781,777,0.75,0.9868,0.1766380262084193,0.0
1,0,782,777,0.8,0.986,0.21622619072027555,0.0
1,0,783,777,0.9,0.989,0.2731838941569214,0.0
1,0,784,777,0.99,0.9922,0.3390002459419577,0.0
1,1,10778,10777,0.5,0.9766,0.008255996866379012,0.0
1,1,10779,10777,0.6,0.9794,0.079040964170937,0.0
1,1,10780,10777,0.7,0.9782,0.1523435243645666,0.0
1,1,10781,10777,0.75,0.9788,0.1760955264921454,0.0
1,1,10782,10777,0.8,0.982,0.20941294129412943,0.0
1,1,10783,10777,0.9,0.9818,0.27878078402223855,0.0
1,1,10784,10777,0.99,0.9868,0.3371991548888546,0.0
1,2,20778,20777,0.5,0.9684,0.015965166908563116,0.0
1,2,20779,20777,0.6,0.9706,0.07373077969247507,0.0
1,2,20780,20777,0.7,0.973,0.13939051774242694,0.0
1,2,20781,20777,0.75,0.9748,0.18888652751034457,0.0
1,2,20782,20777,0.8,0.9756,0.20745611929790878,0.0
1,2,20783,20777,0.9,0.9754,0.2824063382843378,0.0
1,2,20784,20777,0.99,0.9838,0.336360199228182,0.0
1,3,30778,30777,0.5,0.9824,0.01702916464264556,0.0
1,3,30779,30777,0.6,0.981,0.08357649260537667,0.0
1,3,30780,30777,0.7,0.9804,0.15226633745045595,0.0
1,3,30781,30777,0.75,0.9836,0.18213650914184146,0.0
1,3,30782,30777,0.8,0.9822,0.20652653217698058,0.0
1,3,30783,30777,0.9,0.986,0.2818832064840344,0.0
1,3,30784,30777,0.99,0.99,0.3460778525527549,0.0
1,4,40778,40777,0.5,0.9726,0.021685480056654577,0.0
1,4,40779,40777,0.6,0.9798,0.08788167578607275,0.0
1,4,40780,40777,0.7,0.9778,0.14975963751496013,0.0
1,4,40781,40777,0.75,0.9758,0.19305730272710292,0.0
1,4,40782,40777,0.8,0.9794,0.20704553294791322,0.0
1,4,40783,40777,0.9,0.9802,0.29195688167163847,0.0
1,4,40784,40777,0.99,0.9842,0.33027005050216557,0.0
1,5,50778,50777,0.5,0.9708,0.019884463576777756,0.0
1,5,50779,50777,0.6,0.9766,0.07888544479312268,0.0
1,5,50780,50777,0.7,0.9736,0.14734995646688193,0.0
1,5,50781,50777,0.75,0.976,0.17651245289672635,0.0
1,5,50782,50777,0.8,0.9776,0.20683500405058733,0.0
1,5,50783,50777,0.9,0.9774,0.29051890593209984,0.0
1,5,50784,50777,0.99,0.9902,0.34808680868086805,0.0
1,6,60778,60777,0.5,0.9728,0.007273732938384542,0.0
1,6,60779,60777,0.6,0.9768,0.09408644094242473,0.0
1,6,60780,60777,0.7,0.9794,0.1571749463319227,0.0
1,6,60781,60777,0.75,0.9806,0.1777163986763624,0.0
1,6,60782,60777,0.8,0.9802,0.2187263126626104,0.0
1,6,60783,60777,0.9,0.9798,0.2739895852408607,0.0
1,6,60784,60777,0.99,0.9844,0.3423081452354072,0.0
1,7,70778,70777,0.5,0.98,0.025085290018063672,0.0
1,7,70779,70777,0.6,0.9804,0.07601918914209096,0.0
1,7,70780,70777,0.7,0.9788,0.1443219603151421,0.0
1,7,70781,70777,0.75,0.9842,0.18009518581469133,0.0
1,7,70782,70777,0.8,0.9796,0.21275341188074232,0.0
1,7,70783,70777,0.9,0.9838,0.2829422521359641,0.0
1,7,70784,70777,0.99,0.9908,0.34222504691871003,0.0
1,8,80778,80777,0.5,0.9842,0.017495810155769564,0.0
1,8,80779,80777,0.6,0.9798,0.08079877112135178,0.0
1,8,80780,80777,0.7,0.9818,0.14532408956338178,0.0
1,8,80781,80777,0.75,0.9852,0.18430012723330286,0.0
