Figure,Repetition,Seed,DistributionSeed,Method,SensitiveGroup,Class,Probability
3,0,781,777,Unfair,-1,0,0.06382978723404255
3,0,781,777,Unfair,-1,1,0.07543520309477757
3,0,781,777,Unfair,-1,2,0.06769825918762089
3,0,781,777,Unfair,-1,3,0.2804642166344294
3,0,781,777,Unfair,-1,4,0.25918762088974856
3,0,781,777,Unfair,-1,5,0.25338491295938104
3,0,781,777,Unfair,1,0,0.2939958592132505
3,0,781,777,Unfair,1,1,0.23395445134575568
3,0,781,777,Unfair,1,2,0.23809523809523808
3,0,781,777,Unfair,1,3,0.07660455486542443
3,0,781,777,Unfair,1,4,0.07246376811594203
3,0,781,777,Unfair,1,5,0.08488612836438923
3,0,781,777,Exact fair,-1,0,0.14119922630560927
3,0,781,777,Exact fair,-1,1,0.16247582205029013
3,0,781,777,Exact fair,-1,2,0.18568665377176016
3,0,781,777,Exact fair,-1,3,0.172147001934236
3,0,781,777,Exact fair,-1,4,0.16634429400386846
3,0,781,777,Exact fair,-1,5,0.172147001934236
3,0,781,777,Exact fair,1,0,0.19668737060041408
3,0,781,777,Exact fair,1,1,0.16356107660455488
3,0,781,777,Exact fair,1,2,0.15320910973084886
3,0,781,777,Exact fair,1,3,0.13871635610766045
3,0,781,777,Exact fair,1,4,0.16149068322981366
3,0,781,777,Exact fair,1,5,0.18633540372670807
3,1,10781,10777,Unfair,-1,0,0.07480314960629922
3,1,10781,10777,Unfair,-1,1,0.08858267716535433
3,1,10781,10777,Unfair,-1,2,0.08267716535433071
3,1,10781,10777,Unfair,-1,3,0.2637795275590551
3,1,10781,10777,Unfair,-1,4,0.2677165354330709
3,1,10781,10777,Unfair,-1,5,0.22244094488188976
3,1,10781,10777,Unfair,1,0,0.2865853658536585
3,1,10781,10777,Unfair,1,1,0.25
3,1,10781,10777,Unfair,1,2,0.26422764227642276
3,1,10781,10777,Unfair,1,3,0.07520325203252033
3,1,10781,10777,Unfair,1,4,0.07723577235772358
3,1,10781,10777,Unfair,1,5,0.046747967479674794
3,1,10781,10777,Exact fair,-1,0,0.1889763779527559
3,1,10781,10777,Exact fair,-1,1,0.19488188976377951
3,1,10781,10777,Exact fair,-1,2,0.16338582677165353
3,1,10781,10777,Exact fair,-1,3,0.1830708661417323
3,1,10781,10777,Exact fair,-1,4,0.16535433070866143
3,1,10781,10777,Exact fair,-1,5,0.10433070866141732
3,1,10781,10777,Exact fair,1,0,0.2032520325203252
3,1,10781,10777,Exact fair,1,1,0.18089430894308944
3,1,10781,10777,Exact fair,1,2,0.18292682926829268
3,1,10781,10777,Exact fair,1,3,0.21544715447154472
3,1,10781,10777,Exact fair,1,4,0.11178861788617886
3,1,10781,10777,Exact fair,1,5,0.10569105691056911
3,2,20781,20777,Unfair,-1,0,0.0622568093385214
3,2,20781,20777,Unfair,-1,1,0.09727626459143969
3,2,20781,20777,Unfair,-1,2,0.06809338521400778
3,2,20781,20777,Unfair,-1,3,0.2529182879377432
3,2,20781,20777,Unfair,-1,4,0.23929961089494164
3,2,20781,20777,Unfair,-1,5,0.2801556420233463
3,2,20781,20777,Unfair,1,0,0.29835390946502055
3,2,20781,20777,Unfair,1,1,0.23868312757201646
3,2,20781,20777,Unfair,1,2,0.29835390946502055
3,2,20781,20777,Unfair,1,3,0.04526748971193416
3,2,20781,20777,Unfair,1,4,0.059670781893004114
3,2,20781,20777,Unfair,1,5,0.059670781893004114
3,2,20781,20777,Exact fair,-1,0,0.18482490272373542
3,2,20781,20777,Exact fair,-1,1,0.17704280155642024
3,2,20781,20777,Exact fair,-1,2,0.1614785992217899
3,2,20781,20777,Exact fair,-1,3,0.18093385214007782
3,2,20781,20777,Exact fair,-1,4,0.14396887159533073
3,2,20781,20777,Exact fair,-1,5,0.1517509727626459
3,2,20781,20777,Exact fair,1,0,0.18518518518518517
3,2,20781,20777,Exact fair,1,1,0.1646090534979424
3,2,20781,20777,Exact fair,1,2,0.2242798353909465
3,2,20781,20777,Exact fair,1,3,0.14814814814814814
3,2,20781,20777,Exact fair,1,4,0.12757201646090535
3,2,20781,20777,Exact fair,1,5,0.15020576131687244
3,3,30781,30777,Unfair,-1,0,0.07228915662650602
3,3,30781,30777,Unfair,-1,1,0.07630522088353414
3,3,30781,30777,Unfair,-1,2,0.04819277108433735
3,3,30781,30777,Unfair,-1,3,0.2429718875502008
3,3,30781,30777,Unfair,-1,4,0.27710843373493976
3,3,30781,30777,Unfair,-1,5,0.28313253012048195
3,3,30781,30777,Unfair,1,0,0.2549800796812749
3,3,30781,30777,Unfair,1,1,0.2589641434262948
3,3,30781,30777,Unfair,1,2,0.24900398406374502
3,3,30781,30777,Unfair,1,3,0.08565737051792828
3,3,30781,30777,Unfair,1,4,0.08565737051792828
3,3,30781,30777,Unfair,1,5,0.06573705179282868
3,3,30781,30777,Exact fair,-1,0,0.1465863453815261
3,3,30781,30777,Exact fair,-1,1,0.19477911646586346
3,3,30781,30777,Exact fair,-1,2,0.12248995983935743
3,3,30781,30777,Exact fair,-1,3,0.15261044176706828
3,3,30781,30777,Exact fair,-1,4,0.1827309236947791
3,3,30781,30777,Exact fair,-1,5,0.20080321285140562
3,3,30781,30777,Exact fair,1,0,0.20119521912350596
3,3,30781,30777,Exact fair,1,1,0.17131474103585656
3,3,30781,30777,Exact fair,1,2,0.16733067729083664
3,3,30781,30777,Exact fair,1,3,0.17131474103585656
3,3,30781,30777,Exact fair,1,4,0.16733067729083664
3,3,30781,30777,Exact fair,1,5,0.12151394422310757
3,4,40781,40777,Unfair,-1,0,0.07910750507099391
3,4,40781,40777,Unfair,-1,1,0.05273833671399594
3,4,40781,40777,Unfair,-1,2,0.06693711967545639
3,4,40781,40777,Unfair,-1,3,0.281947261663286
3,4,40781,40777,Unfair,-1,4,0.2616632860040568
3,4,40781,40777,Unfair,-1,5,0.25760649087221094
3,4,40781,40777,Unfair,1,0,0.2702169625246548
3,4,40781,40777,Unfair,1,1,0.2603550295857988
3,4,40781,40777,Unfair,1,2,0.26627218934911245
3,4,40781,40777,Unfair,1,3,0.09861932938856016
3,4,40781,40777,Unfair,1,4,0.04339250493096647
3,4,40781,40777,Unfair,1,5,0.0611439842209073
3,4,40781,40777,Exact fair,-1,0,0.12170385395537525
3,4,40781,40777,Exact fair,-1,1,0.18052738336713997
3,4,40781,40777,Exact fair,-1,2,0.16227180527383367
3,4,40781,40777,Exact fair,-1,3,0.18661257606490872
3,4,40781,40777,Exact fair,-1,4,0.18255578093306288
3,4,40781,40777,Exact fair,-1,5,0.1663286004056795
3,4,40781,40777,Exact fair,1,0,0.16370808678500987
3,4,40781,40777,Exact fair,1,1,0.1873767258382643
3,4,40781,40777,Exact fair,1,2,0.20315581854043394
3,4,40781,40777,Exact fair,1,3,0.1893491124260355
3,4,40781,40777,Exact fair,1,4,0.11834319526627218
3,4,40781,40777,Exact fair,1,5,0.13806706114398423
3,5,50781,50777,Unfair,-1,0,0.068
3,5,50781,50777,Unfair,-1,1,0.072
3,5,50781,50777,Unfair,-1,2,0.056
3,5,50781,50777,Unfair,-1,3,0.292
3,5,50781,50777,Unfair,-1,4,0.246
3,5,50781,50777,Unfair,-1,5,0.266
3,5,50781,50777,Unfair,1,0,0.248
3,5,50781,50777,Unfair,1,1,0.268
3,5,50781,50777,Unfair,1,2,0.236
3,5,50781,50777,Unfair,1,3,0.068
3,5,50781,50777,Unfair,1,4,0.096
3,5,50781,50777,Unfair,1,5,0.084
3,5,50781,50777,Exact fair,-1,0,0.178
3,5,50781,50777,Exact fair,-1,1,0.18
3,5,50781,50777,Exact fair,-1,2,0.176
3,5,50781,50777,Exact fair,-1,3,0.164
3,5,50781,50777,Exact fair,-1,4,0.152
3,5,50781,50777,Exact fair,-1,5,0.15
3,5,50781,50777,Exact fair,1,0,0.144
3,5,50781,50777,Exact fair,1,1,0.178
3,5,50781,50777,Exact fair,1,2,0.164
3,5,50781,50777,Exact fair,1,3,0.16
3,5,50781,50777,Exact fair,1,4,0.192
3,5,50781,50777,Exact fair,1,5,0.162
3,6,60781,60777,Unfair,-1,0,0.04897959183673469
3,6,60781,60777,Unfair,-1,1,0.08163265306122448
3,6,60781,60777,Unfair,-1,2,0.05102040816326531
3,6,60781,60777,Unfair,-1,3,0.2571428571428571
3,6,60781,60777,Unfair,-1,4,0.2816326530612245
3,6,60781,60777,Unfair,-1,5,0.2795918367346939
3,6,60781,60777,Unfair,1,0,0.24509803921568626
3,6,60781,60777,Unfair,1,1,0.24901960784313726
3,6,60781,60777,Unfair,1,2,0.30392156862745096
3,6,60781,60777,Unfair,1,3,0.06666666666666667
3,6,60781,60777,Unfair,1,4,0.056862745098039215
3,6,60781,60777,Unfair,1,5,0.0784313725490196
3,6,60781,60777,Exact fair,-1,0,0.14081632653061224
3,6,60781,60777,Exact fair,-1,1,0.1816326530612245
3,6,60781,60777,Exact fair,-1,2,0.16938775510204082
3,6,60781,60777,Exact fair,-1,3,0.1469387755102041
3,6,60781,60777,Exact fair,-1,4,0.1673469387755102
3,6,60781,60777,Exact fair,-1,5,0.19387755102040816
3,6,60781,60777,Exact fair,1,0,0.15294117647058825
3,6,60781,60777,Exact fair,1,1,0.17450980392156862
3,6,60781,60777,Exact fair,1,2,0.19019607843137254
3,6,60781,60777,Exact fair,1,3,0.13529411764705881
3,6,60781,60777,Exact fair,1,4,0.19215686274509805
3,6,60781,60777,Exact fair,1,5,0.15490196078431373
3,7,70781,70777,Unfair,-1,0,0.055327868852459015
3,7,70781,70777,Unfair,-1,1,0.07377049180327869
3,7,70781,70777,Unfair,-1,2,0.06557377049180328
3,7,70781,70777,Unfair,-1,3,0.29098360655737704
3,7,70781,70777,Unfair,-1,4,0.26024590163934425
3,7,70781,70777,Unfair,-1,5,0.2540983606557377
3,7,70781,70777,Unfair,1,0,0.267578125
3,7,70781,70777,Unfair,1,1,0.265625
3,7,70781,70777,Unfair,1,2,0.265625
3,7,70781,70777,Unfair,1,3,0.0546875
3,7,70781,70777,Unfair,1,4,0.0546875
3,7,70781,70777,Unfair,1,5,0.091796875
3,7,70781,70777,Exact fair,-1,0,0.26434426229508196
3,7,70781,70777,Exact fair,-1,1,0.1680327868852459
3,7,70781,70777,Exact fair,-1,2,0.14959016393442623
3,7,70781,70777,Exact fair,-1,3,0.14959016393442623
3,7,70781,70777,Exact fair,-1,4,0.13729508196721313
