Figure,Method,SensitiveGroup,Class,ProbabilityMean,ProbabilityStd,Repetitions
3,Exact fair,-1,0,0.17098380283979905,0.034775846950489055,30
3,Exact fair,-1,1,0.16427495344398318,0.020318568330901784,30
3,Exact fair,-1,2,0.16193146301778327,0.025920087718248695,30
3,Exact fair,-1,3,0.1806309346493008,0.025426568389199124,30
3,Exact fair,-1,4,0.16082307291167777,0.021303225140655444,30
3,Exact fair,-1,5,0.16135577313745592,0.02543518928439213,30
3,Exact fair,1,0,0.16836048819508853,0.01861799230645406,30
3,Exact fair,1,1,0.16625025214711062,0.023181565481656605,30
3,Exact fair,1,2,0.17400380813581398,0.020395098974683785,30
3,Exact fair,1,3,0.17105281088192376,0.024115949036505498,30
3,Exact fair,1,4,0.15887898684578572,0.025779121385830328,30
3,Exact fair,1,5,0.16145365379427737,0.025979886965355307,30
3,Unfair,-1,0,0.07389749928163,0.015055164783641965,30
3,Unfair,-1,1,0.07019457690098202,0.01389248863969551,30
3,Unfair,-1,2,0.07295784130296831,0.016380766071582873,30
3,Unfair,-1,3,0.2725787588630008,0.020354131141786167,30
3,Unfair,-1,4,0.25571017980206046,0.02081115433583793,30
3,Unfair,-1,5,0.2546611438493584,0.02208332210668754,30
3,Unfair,1,0,0.26394638949894084,0.01972051123557713,30
3,Unfair,1,1,0.25952361693572995,0.01723561549670828,30
3,Unfair,1,2,0.26258633357248,0.017658429795763448,30
3,Unfair,1,3,0.07498320117021239,0.013547959464101015,30
3,Unfair,1,4,0.07200834097493193,0.012687825618018438,30
3,Unfair,1,5,0.06695211784770483,0.012142487084173887,30
