Figure,Repetition,Seed,Protocol,Method,Accuracy,Unfairness,RuntimeSeconds
4,0,1177,Split 60/20/20,Unfair,0.879,0.23473868334994458,
4,0,1177,Split 60/20/20,Exact fair,0.72,0.0677417934523738,
4,0,1177,No split 80/20,Unfair,0.893,0.21561775760414037,
4,0,1177,No split 80/20,Exact fair,0.318,0.3589586560514908,
4,1,11177,Split 60/20/20,Unfair,0.875,0.23533812627274947,
4,1,11177,Split 60/20/20,Exact fair,0.714,0.03293445515321003,
4,1,11177,No split 80/20,Unfair,0.886,0.23556217018535633,
4,1,11177,No split 80/20,Exact fair,0.326,0.2954659113186185,
4,2,21177,Split 60/20/20,Unfair,0.899,0.19331322272498744,
4,2,21177,Split 60/20/20,Exact fair,0.698,0.0710034220470653,
4,2,21177,No split 80/20,Unfair,0.912,0.19906258615936034,
4,2,21177,No split 80/20,Exact fair,0.312,0.35333852316774517,
4,3,31177,Split 60/20/20,Unfair,0.92,0.22778091564218733,
4,3,31177,Split 60/20/20,Exact fair,0.742,0.07332988835879012,
4,3,31177,No split 80/20,Unfair,0.91,0.2239273510949812,
4,3,31177,No split 80/20,Exact fair,0.352,0.3281097905375362,
4,4,41177,Split 60/20/20,Unfair,0.898,0.20771151757118061,
4,4,41177,Split 60/20/20,Exact fair,0.733,0.05166532382521416,
4,4,41177,No split 80/20,Unfair,0.911,0.2208954146974999,
4,4,41177,No split 80/20,Exact fair,0.332,0.31988487639845914,
4,5,51177,Split 60/20/20,Unfair,0.9,0.21608140782373383,
4,5,51177,Split 60/20/20,Exact fair,0.725,0.08057517093401227,
4,5,51177,No split 80/20,Unfair,0.904,0.20357560327296598,
4,5,51177,No split 80/20,Exact fair,0.344,0.2904837392515732,
4,6,61177,Split 60/20/20,Unfair,0.906,0.21686250505098997,
4,6,61177,Split 60/20/20,Exact fair,0.753,0.07277426375569612,
4,6,61177,No split 80/20,Unfair,0.899,0.2329176518597645,
4,6,61177,No split 80/20,Exact fair,0.319,0.29084900640525546,
4,7,71177,Split 60/20/20,Unfair,0.868,0.233589919651139,
4,7,71177,Split 60/20/20,Exact fair,0.74,0.06920602797152253,
4,7,71177,No split 80/20,Unfair,0.874,0.23810326896590495,
4,7,71177,No split 80/20,Exact fair,0.316,0.3215681078064079,
4,8,81177,Split 60/20/20,Unfair,0.876,0.19471788715486196,
4,8,81177,Split 60/20/20,Exact fair,0.693,0.04769907963185274,
4,8,81177,No split 80/20,Unfair,0.875,0.19447779111644659,
4,8,81177,No split 80/20,Exact fair,0.319,0.34625850340136055,
4,9,91177,Split 60/20/20,Unfair,0.875,0.2425839469926682,
4,9,91177,Split 60/20/20,Exact fair,0.713,0.043485585021899226,
4,9,91177,No split 80/20,Unfair,0.892,0.2446936516340184,
4,9,91177,No split 80/20,Exact fair,0.305,0.3542859893151081,
4,10,101177,Split 60/20/20,Unfair,0.867,0.2520811987704918,
4,10,101177,Split 60/20/20,Exact fair,0.713,0.016297387295081955,
4,10,101177,No split 80/20,Unfair,0.857,0.2577484631147541,
4,10,101177,No split 80/20,Exact fair,0.311,0.3304943647540984,
4,11,111177,Split 60/20/20,Unfair,0.896,0.223654957759004,
4,11,111177,Split 60/20/20,Exact fair,0.725,0.04016599970357197,
4,11,111177,No split 80/20,Unfair,0.898,0.23004418380140923,
4,11,111177,No split 80/20,Exact fair,0.311,0.2962838338560882,
4,12,121177,Split 60/20/20,Unfair,0.857,0.2255379098360656,
4,12,121177,Split 60/20/20,Exact fair,0.738,0.041944159836065587,
4,12,121177,No split 80/20,Unfair,0.874,0.2203829405737705,
4,12,121177,No split 80/20,Exact fair,0.339,0.3053919057377049,
4,13,131177,Split 60/20/20,Unfair,0.871,0.21941951071217142,
4,13,131177,Split 60/20/20,Exact fair,0.699,0.045520728331653326,
4,13,131177,No split 80/20,Unfair,0.882,0.2274676394822317,
4,13,131177,No split 80/20,Exact fair,0.315,0.3065329045264724,
4,14,141177,Split 60/20/20,Unfair,0.842,0.24985171291620578,
4,14,141177,Split 60/20/20,Exact fair,0.691,0.06111832507734974,
4,14,141177,No split 80/20,Unfair,0.861,0.22441847416598534,
4,14,141177,No split 80/20,Exact fair,0.286,0.3045816701133394,
4,15,151177,Split 60/20/20,Unfair,0.902,0.23529694118776473,
4,15,151177,Split 60/20/20,Exact fair,0.703,0.04056816227264909,
4,15,151177,No split 80/20,Unfair,0.909,0.22926891707566827,
4,15,151177,No split 80/20,Exact fair,0.333,0.2953051812207249,
4,16,161177,Split 60/20/20,Unfair,0.882,0.21703053798544517,
