Figure,Repetition,Seed,DistributionSeed,p,Method,Epsilon,Accuracy,Unfairness,RuntimeSeconds
2,0,778,777,0.5,Unfair,,0.904,0.04080408040804079,0.03960429999278858
2,0,778,777,0.5,Our Eps-Fair,0.0,0.899,0.03482348234823482,0.24933550000423566
2,0,778,777,0.5,Our Eps-Fair,0.05,0.906,0.036843684368436824,0.011117299989564344
2,0,778,777,0.5,Our Eps-Fair,0.1,0.903,0.04080408040804079,0.008626800001366064
2,0,778,777,0.5,Our Eps-Fair,0.15,0.904,0.04080408040804079,0.008823299984214827
2,0,778,777,0.5,Our Eps-Fair,0.2,0.904,0.038823882388238806,0.008928700000979006
2,0,779,777,0.6,Unfair,,0.903,0.09634085213032581,0.042646700021578
2,0,779,777,0.6,Our Eps-Fair,0.0,0.851,0.07137844611528821,0.3898144999984652
2,0,779,777,0.6,Our Eps-Fair,0.05,0.897,0.09674185463659148,0.3402316000137944
2,0,779,777,0.6,Our Eps-Fair,0.1,0.903,0.09634085213032581,0.013643299986142665
2,0,779,777,0.6,Our Eps-Fair,0.15,0.905,0.09844611528822056,0.015670499997213483
2,0,779,777,0.6,Our Eps-Fair,0.2,0.903,0.09634085213032581,0.013780099980067462
2,0,780,777,0.7,Unfair,,0.914,0.1722463049041625,0.039292899979045615
2,0,780,777,0.7,Our Eps-Fair,0.0,0.799,0.06915724897654182,0.3574393000162672
2,0,780,777,0.7,Our Eps-Fair,0.05,0.854,0.1039688884782111,0.5404644000227563
2,0,780,777,0.7,Our Eps-Fair,0.1,0.891,0.1317378500749264,0.4936679000093136
2,0,780,777,0.7,Our Eps-Fair,0.15,0.914,0.16368099441165715,0.185150600009365
2,0,780,777,0.7,Our Eps-Fair,0.2,0.914,0.1701049772810362,0.020405299990670756
2,0,781,777,0.75,Unfair,,0.909,0.23016607197920796,0.047499299980700016
2,0,781,777,0.75,Our Eps-Fair,0.0,0.734,0.05548814429480481,0.33680840002489276
2,0,781,777,0.75,Our Eps-Fair,0.05,0.793,0.10147330313842803,0.3949915000121109
2,0,781,777,0.75,Our Eps-Fair,0.1,0.862,0.17342047406802263,0.3340101999929175
2,0,781,777,0.75,Our Eps-Fair,0.15,0.898,0.21401139717513445,0.3653851000126451
2,0,781,777,0.75,Our Eps-Fair,0.2,0.91,0.23016607197920796,0.03276279999408871
2,0,782,777,0.8,Unfair,,0.894,0.2778741726110147,0.05508270001155324
2,0,782,777,0.8,Our Eps-Fair,0.0,0.689,0.05150697255960415,0.5668653000029735
2,0,782,777,0.8,Our Eps-Fair,0.05,0.767,0.10899042477989845,0.39449959999183193
2,0,782,777,0.8,Our Eps-Fair,0.1,0.815,0.14274468221836642,0.36763790002441965
2,0,782,777,0.8,Our Eps-Fair,0.15,0.875,0.19367328577854892,0.29359620000468567
2,0,782,777,0.8,Our Eps-Fair,0.2,0.905,0.23443223443223443,0.2355204000195954
2,0,783,777,0.9,Unfair,,0.897,0.3216503424876769,0.03526549998787232
2,0,783,777,0.9,Our Eps-Fair,0.0,0.618,0.05641444209717689,0.3062809999973979
